noun,gender,lang
fayencière,feminine,French
fayettiste,feminine,French
fazenda,feminine,French
featurette,feminine,French
fébricule,feminine,French
fébrilité,feminine,French
fèces,feminine,French
fécondabilité,feminine,French
fécondité,feminine,French
fécule,feminine,French
féculence,feminine,French
féculerie,feminine,French
fédéralisation,feminine,French
fédéraliste,feminine,French
fédéraste,feminine,French
fédération,feminine,French
fédité,feminine,French
féerie,feminine,French
e,masculine,French
ébahissement,masculine,French
ébéniste,masculine,French
éblouissement,masculine,French
éboulement,masculine,French
écartèlement,masculine,French
écartement,masculine,French
Ecclésiaste,masculine,French
échalier,masculine,French
échange,masculine,French
échangeur,masculine,French
échangiste,masculine,French
échanson,masculine,French
échappement,masculine,French
échardonnage,masculine,French
échauffement,masculine,French
Échécrate,masculine,French
échelonnement,masculine,French
écheveau,masculine,French
échinoderme,masculine,French
échiquier,masculine,French
échotier,masculine,French
écimage,masculine,French
éclairage,masculine,French
éclairagiste,masculine,French
éclaircissage,masculine,French
éclaircissement,masculine,French
éclairement,masculine,French
éclat,masculine,French
éclatement,masculine,French
éclusage,masculine,French
écoblanchiment,masculine,French
écœurement,masculine,French
écolier,masculine,French
écologisme,masculine,French
écologiste,masculine,French
écologue,masculine,French
écomusée,masculine,French
économétricien,masculine,French
économiseur,masculine,French
économiste,masculine,French
écopeau,masculine,French
écoquartier,masculine,French
écorceur,masculine,French
écosocialiste,masculine,French
Ecossais,masculine,French
écosseur,masculine,French
écotype,masculine,French
écoulage,masculine,French
écoulement,masculine,French
écoumène,masculine,French
écouteur,masculine,French
écraniste,masculine,French
écrantage,masculine,French
écrasement,masculine,French
écraseur,masculine,French
écrin,masculine,French
écriteau,masculine,French
écrivaillon,masculine,French
écrouissage,masculine,French
écroulement,masculine,French
ectoblaste,masculine,French
ectoderme,masculine,French
ectoparasite,masculine,French
ectoparasitisme,masculine,French
ectoplasme,masculine,French
ectoprocte,masculine,French
ectosymbiote,masculine,French
ectotherme,masculine,French
ectropion,masculine,French
écueil,masculine,French
écumage,masculine,French
écureuil,masculine,French
écusson,masculine,French
édam,masculine,French
edelweiss,masculine,French
édelweiss,masculine,French
éden,masculine,French
éditeur,masculine,French
éditorial,masculine,French
éditorialiste,masculine,French
Edmond,masculine,French
gabardine,feminine,French
gabare,feminine,French
gabegie,feminine,French
gabelle,feminine,French
gabière,feminine,French
Gabonaise,feminine,French
Gabrielle,feminine,French
gâche,feminine,French
gâchette,feminine,French
Gadès,feminine,French
gaduine,feminine,French
gaffe,feminine,French
gaffeuse,feminine,French
gageure,feminine,French
gageüre,feminine,French
gagnante,feminine,French
gagneuse,feminine,French
Gaillacoise,feminine,French
gaillarde,feminine,French
gaillardise,feminine,French
gaîté,feminine,French
galactite,feminine,French
galactophage,feminine,French
galanterie,feminine,French
galantine,feminine,French
Galatie,feminine,French
gale,feminine,French
galéasse,feminine,French
galéjade,feminine,French
galerie,feminine,French
galeriste,feminine,French
galerne,feminine,French
galéruque,feminine,French
